#  kcut[h kpc^-1]= 1000
#  M [Msol]   sigmaM   dlogsigmaM/dlogM 
  1.e-15  12.07564063399762  0.
  1.2589254117941765e-15  12.07564063399762  0.
  1.5848931924611175e-15  12.07564063399762  0.
  1.995262314968883e-15  12.07564063399762  0.
  2.511886431509582e-15  12.07564063399762  0.
  3.162277660168405e-15  12.07564063399762  0.
  3.981071705535002e-15  12.07564063399762  0.
  5.0118723362727556e-15  12.07564063399762  0.
  6.309573444801969e-15  12.07564063399762  0.
  7.943282347242853e-15  12.07564063399762  0.
  1.e-14  12.07564063399762  0.
  1.2589254117941714e-14  12.07564063399762  0.
  1.584893192461124e-14  12.07564063399762  0.
  1.995262314968891e-14  12.07564063399762  0.
  2.5118864315095924e-14  12.07564063399762  0.
  3.162277660168392e-14  12.07564063399762  0.
  3.981071705534986e-14  12.07564063399762  0.
  5.011872336272735e-14  12.07564063399762  0.
  6.309573444801968e-14  12.07564063399762  0.
  7.943282347242854e-14  12.07564063399762  0.
  1.e-13  12.07564063399762  0.
  1.2589254117941713e-13  12.07564063399762  0.
  1.5848931924611238e-13  12.07564063399762  0.
  1.995262314968891e-13  12.07564063399762  0.
  2.5118864315095926e-13  12.07564063399762  0.
  3.1622776601683923e-13  12.07564063399762  0.
  3.981071705535002e-13  12.07564063399762  0.
  5.011872336272756e-13  12.07564063399762  0.
  6.309573444801942e-13  12.07564063399762  0.
  7.943282347242822e-13  12.07564063399762  0.
  1.e-12  12.07564063399762  0.
  1.2589254117941713e-12  12.07564063399762  0.
  1.5848931924611175e-12  12.07564063399762  0.
  1.995262314968891e-12  12.07564063399762  0.
  2.5118864315095924e-12  12.07564063399762  0.
  3.1622776601683923e-12  12.07564063399762  0.
  3.981071705534986e-12  12.07564063399762  0.
  5.011872336272756e-12  12.07564063399762  0.
  6.3095734448019685e-12  12.07564063399762  0.
  7.943282347242854e-12  12.07564063399762  0.
  1.e-11  12.07564063399762  0.
  1.2589254117941713e-11  12.07564063399762  0.
  1.5848931924611175e-11  12.07564063399762  0.
  1.9952623149688828e-11  12.07564063399762  0.
  2.5118864315095923e-11  12.07564063399762  0.
  3.162277660168392e-11  12.07564063399762  0.
  3.9810717055349857e-11  12.07564063399762  0.
  5.011872336272735e-11  12.07564063399762  0.
  6.309573444801968e-11  12.07564063399762  0.
  7.943282347242854e-11  12.07564063399762  0.
  1.e-10  12.07564063399762  0.
  1.2589254117941713e-10  12.07564063399762  0.
  1.5848931924611238e-10  12.07564063399762  0.
  1.995262314968891e-10  12.07564063399762  0.
  2.511886431509582e-10  12.07564063399762  0.
  3.1622776601683795e-10  12.07564063399762  0.
  3.9810717055349854e-10  12.07564063399762  0.
  5.011872336272735e-10  12.07564063399762  0.
  6.309573444801942e-10  12.07564063399762  0.
  7.943282347242854e-10  12.07564063399762  0.
  1.e-9  12.07564063399762  0.
  1.2589254117941712e-9  12.07564063399762  0.
  1.5848931924611173e-9  12.07564063399762  0.
  1.995262314968891e-9  12.07564063399762  0.
  2.5118864315095923e-9  12.07564063399762  0.
  3.1622776601683923e-9  12.07564063399762  0.
  3.9810717055349855e-9  12.07564063399762  0.
  5.011872336272735e-9  12.07564063399762  0.
  6.309573444801943e-9  12.07564063399762  0.
  7.943282347242822e-9  12.07564063399762  0.
  1.e-8  12.07564063399762  0.
  1.2589254117941714e-8  12.07564063399762  0.
  1.5848931924611173e-8  12.07564063399762  0.
  1.995262314968883e-8  12.07564063399762  0.
  2.5118864315095923e-8  12.07564063399762  0.
  3.1622776601683924e-8  12.07564063399762  0.
  3.9810717055349776e-8  12.07564063399762  0.
  5.011872336272725e-8  12.07564063399762  0.
  6.309573444801956e-8  12.07564063399762  0.
  7.943282347242838e-8  12.07564063399762  0.
  1.e-7  12.07564063399762  0.
  1.2589254117941715e-7  12.07564063399762  0.
  1.5848931924611173e-7  12.07564063399762  0.
  1.995262314968883e-7  12.07564063399762  0.
  2.5118864315095876e-7  12.07564063399762  0.
  3.1622776601683855e-7  12.07564063399762  0.
  3.981071705534977e-7  12.07564063399762  0.
  5.011872336272736e-7  12.07564063399762  0.
  6.309573444801956e-7  12.07564063399762  0.
  7.943282347242822e-7  12.07564063399762  0.
  1.e-6  12.07564063399762  0.
  1.2589254117941687e-6  12.07564063399762  0.
  1.5848931924611175e-6  12.07564063399762  0.
  1.995262314968883e-6  12.07564063399762  0.
  2.5118864315095874e-6  12.07564063399762  0.
  3.162277660168386e-6  12.07564063399762  0.
  3.981071705534978e-6  12.07564063399762  0.
  5.011872336272725e-6  12.07564063399762  0.
  6.309573444801943e-6  12.07564063399762  0.
  7.943282347242837e-6  12.07564063399762  0.
  0.00001  12.07564063399762  0.
  0.000012589254117941714  12.07564063399762  0.
  0.00001584893192461114  12.07564063399762  0.
  0.00001995262314968883  12.07564063399762  0.
  0.000025118864315095822  12.07564063399762  0.
  0.000031622776601683856  12.07564063399762  0.
  0.000039810717055349776  12.07564063399762  0.
  0.00005011872336272735  12.07564063399762  0.
  0.00006309573444801943  12.07564063399762  0.
  0.00007943282347242822  12.07564063399762  0.
  0.0001  12.07564063399762  0.
  0.00012589254117941688  12.07564063399762  0.
  0.00015848931924611174  12.07564063399762  0.
  0.0001995262314968881  12.07564063399762  0.
  0.0002511886431509585  12.07564063399762  0.
  0.00031622776601683826  12.07564063399762  0.
  0.00039810717055349773  12.07564063399762  0.
  0.0005011872336272725  12.07564063399762  0.
  0.0006309573444801943  12.07564063399762  0.
  0.0007943282347242829  12.07564063399762  0.
  0.001  12.07564063399762  0.
  0.0012589254117941688  12.07564063399762  0.
  0.0015848931924611158  12.07564063399762  0.
  0.0019952623149688807  12.07564063399762  0.
  0.002511886431509582  12.07564063399762  0.
  0.0031622776601683824  12.07564063399762  0.
  0.003981071705534973  12.07564063399762  0.
  0.005011872336272725  12.07564063399762  0.
  0.006309573444801936  12.07564063399762  0.
  0.00794328234724282  12.07564063399762  0.
  0.01  12.07564063399762  0.
  0.012589254117941687  12.07564063399762  0.
  0.015848931924611148  12.07564063399762  0.
  0.01995262314968881  12.07564063399762  0.
  0.025118864315095822  12.07564063399762  0.
  0.03162277660168381  12.07564063399762  0.
  0.039810717055349755  12.07564063399762  0.
  0.05011872336272725  12.07564063399762  0.
  0.06309573444801933  12.07564063399762  0.
  0.07943282347242818  12.07564063399762  0.
  0.1  12.07564063399762  0.
  0.12589254117941673  12.07564063399762  0.
  0.15848931924611134  12.07564063399762  0.
  0.19952623149688797  12.07564063399762  0.
  0.251188643150958  12.07564063399762  0.
  0.31622776601683794  12.07564063399762  0.
  0.3981071705534972  12.07564063399762  0.
  0.5011872336272722  12.07564063399762  0.
  0.6309573444801932  12.07564063399762  0.
  0.7943282347242815  12.07564063399762  0.
  1.  12.07564063399762  0.
  1.2589254117941673  12.07564063399762  0.
  1.5848931924611136  12.07564063399762  0.
  1.9952623149688795  12.07564063399762  0.
  2.51188643150958  12.07564063399762  0.
  3.1622776601683795  12.07564063399762  0.
  3.9810717055349722  12.07564063399762  0.
  5.011872336272722  12.07564063399762  0.
  6.309573444801933  12.07564063399762  0.
  7.943282347242816  12.07564063399762  0.
  10.  12.07564063399762  0.
  12.589254117941667  12.07564063399762  0.
  15.848931924611133  12.07564063399762  0.
  19.952623149688787  12.07564063399762  0.
  25.118864315095784  12.07564063399762  0.
  31.62277660168378  12.07564063399762  0.
  39.81071705534969  12.07564063399762  0.
  50.118723362727195  12.07564063399762  0.
  63.09573444801933  12.07564063399762  0.
  79.43282347242805  12.07564063399762  0.
  100.  12.07564063399762  0.
  125.89254117941661  12.07564063399762  0.
  158.48931924611125  12.07564063399762  0.
  199.52623149688787  12.07564063399762  0.
  251.18864315095797  12.07564063399762  0.
  316.2277660168376  12.07564063399762  0.
  398.1071705534969  12.07564063399762  0.
  501.18723362727195  12.07564063399762  0.
  630.9573444801923  12.07564063399762  0.
  794.3282347242805  12.07564063399762  0.
  1000.  12.07564063399762  0.
  1258.9254117941648  12.07564063399762  0.
  1584.8931924611109  12.07564063399762  0.
  1995.2623149688768  12.07564063399762  0.
  2511.886431509577  12.07564063399762  0.
  3162.2776601683763  12.07564063399762  0.
  3981.071705534965  12.07564063399762  0.
  5011.87233627272  12.07564063399762  0.
  6309.573444801917  12.07564063399762  0.
  7943.282347242805  12.07564063399762  0.
  10000.  12.07564063399762  -0.009719937934667805
  12589.254117941662  11.994561217351965  -0.04093909427613049
  15848.931924611108  11.858056872717565  -0.05332772447372107
  19952.62314968875  11.721957009790943  -0.05035476781050228
  25118.86431509577  11.586219802242994  -0.050809130478722694
  31622.77660168373  11.450863177380034  -0.051265470142070946
  39810.71705534969  11.31587749442754  -0.05173257713599974
  50118.72336272715  11.181283737043325  -0.052202334285715656
  63095.7344480193  11.047077134982498  -0.05268190385583743
  79432.82347242789  10.913278490593589  -0.05316787645604508
  100000.  10.779859080114411  -0.053670200515346905
  125892.54117941637  10.646855130003582  -0.054169874479402504
  158489.3192461111  10.514258246872094  -0.054685256384754105
  199526.23149688746  10.382069884094783  -0.05520694475192786
  251188.6431509577  10.2503158187068  -0.05573500192967585
  316227.76601683727  10.118965794000442  -0.05628211646238757
  398107.1705534961  9.988055547101862  -0.05682796810594248
  501187.2336272715  9.857571339231475  -0.057390102207957816
  630957.3444801917  9.727536349956482  -0.05795675609582483
  794328.2347242805  9.597938743205251  -0.05854087370151226
  1.e6  9.468788031616965  -0.05913156397985272
  1.258925411794166e6  9.34009785659028  -0.05973242042736732
  1.5848931924611076e6  9.21185967630783  -0.06034784619180059
  1.9952623149688747e6  9.084096946506643  -0.06096871566258035
  2.511886431509572e6  8.956801608648098  -0.06160709090067964
  3.162277660168373e6  8.82998693145838  -0.06225531477262993
  3.981071705534961e6  8.703647242317532  -0.0629193245507816
  5.011872336272715e6  8.577801378214534  -0.06359095989204268
  6.309573444801917e6  8.45244843606677  -0.064279648423178
  7.943282347242789e6  8.327595413734189  -0.06498046289779937
  1.e7  8.203251442982015  -0.06569419308129232
  1.2589254117941637e7  8.079421792980042  -0.06642320145671167
  1.5848931924611077e7  7.956111604611772  -0.06716692948429372
  1.9952623149688788e7  7.833330382939063  -0.06792482015068885
  2.511886431509577e7  7.711082187311864  -0.06869981347824267
  3.1622776601683665e7  7.589373793202022  -0.06949038383410537
  3.981071705534953e7  7.4682136125840985  -0.07029759818804615
  5.011872336272714e7  7.347604455875217  -0.07112036461275995
  6.309573444801917e7  7.227572621665835  -0.07196078199045465
  7.943282347242789e7  7.108074048750265  -0.07284628927126331
  1.e8  6.9891231934176785  -0.07374116089007048
  1.2589254117941661e8  6.870734969083544  -0.07465197406072692
  1.584893192461111e8  6.752921712395302  -0.07557936147637113
  1.9952623149688748e8  6.635701684173529  -0.07652431073962174
  2.511886431509572e8  6.519074495753369  -0.07748482597404037
  3.1622776601683664e8  6.403101457345042  -0.07844672724305261
  3.981071705534953e8  6.287742285728858  -0.07945869781120185
  5.011872336272694e8  6.173031317767311  -0.0804731331266506
  6.309573444801917e8  6.058977310154673  -0.08151101837496012
  7.943282347242789e8  5.945601179102757  -0.08256624939268017
  1.e9  5.832908658712966  -0.0836525244685655
  1.258925411794161e9  5.720896586326886  -0.08476222847906373
  1.5848931924611108e9  5.609612440201497  -0.08587912358228693
  1.9952623149688747e9  5.499036625842149  -0.08704433972771325
  2.511886431509572e9  5.389187466042468  -0.08822613933900697
  3.1622776601683793e9  5.280081349311239  -0.0894347412587515
  3.9810717055349693e9  5.171722169936677  -0.0906777787480681
  5.011872336272695e9  5.064120775944528  -0.09194366886414203
  6.309573444801891e9  4.9573100225511215  -0.09323047710111781
  7.943282347242789e9  4.85127884027221  -0.09456858176007643
  1.e10  4.746038417544096  -0.09593316162941709
  1.258925411794161e10  4.641612078736161  -0.09732510238776924
  1.5848931924611044e10  4.538003067396958  -0.09875699561333996
  1.9952623149688747e10  4.435234777283911  -0.1002181682125381
  2.511886431509572e10  4.333307419213872  -0.10173068232839079
  3.1622776601683662e10  4.2322268719787655  -0.10328057195749568
  3.981071705534953e10  4.132021872229938  -0.10485516917273054
  5.011872336272715e10  4.032706031597315  -0.10647858913239829
  6.309573444801917e10  3.934276298514103  -0.10815465343383444
  7.943282347242789e10  3.8367606159959466  -0.10986103541377037
  1.e11  3.7401658218057325  -0.11162081351402137
  1.258925411794161e11  3.64450975568445  -0.11342588460885072
  1.5848931924611044e11  3.549798532145418  -0.11528586339324395
  1.9952623149688666e11  3.456054483494435  -0.11719003112123555
  2.5118864315095718e11  3.3632844514085356  -0.1191545886788477
  3.162277660168367e11  3.2715086788531145  -0.12116772912046729
  3.981071705534953e11  3.1807387925331696  -0.12324217202494664
  5.011872336272694e11  3.0909908155909007  -0.12537477533692773
  6.309573444801917e11  3.002278000132201  -0.12756979878941252
  7.943282347242789e11  2.9146190228556432  -0.12982538621333972
  1.e12  2.828026442309915  -0.132150794367845
  1.2589254117941663e12  2.74251767095982  -0.1345445610387667
  1.5848931924611108e12  2.65810346941011  -0.13701381405845353
  1.9952623149688665e12  2.5748062855481457  -0.13955064131177727
  2.5118864315095615e12  2.4926355357507206  -0.14217026598963234
  3.162277660168366e12  2.411617714356468  -0.14485710894800738
  3.981071705534953e12  2.3317613907579555  -0.14764110477600356
  5.011872336272694e12  2.253084261668483  -0.15050816486295687
  6.309573444801892e12  2.1756017067273774  -0.153459504440511
  7.943282347242789e12  2.0993425423046377  -0.15649496774230748
  1.e13  2.0243041716636787  -0.15964524654608017
  1.258925411794161e13  1.9505322166732046  -0.16285487632669515
  1.584893192461111e13  1.8780155283227318  -0.16622366208770045
  1.9952623149688746e13  1.8067814478629591  -0.16967114434304645
  2.511886431509572e13  1.7368450737042855  -0.173231357658791
  3.1622776601683664e13  1.6682311703048547  -0.17688613335716355
  3.981071705534953e13  1.6009588902830647  -0.18066092748342857
  5.0118723362726945e13  1.5350391367398584  -0.18457871512001994
  6.3095734448018914e13  1.470481115414534  -0.18863586984057928
  7.943282347242789e13  1.407305187614262  -0.1927888261725221
  1.e14  1.3455498123937177  -0.19699011706384326
  1.2589254117941611e14  1.2852533147180798  -0.20127774835797346
  1.5848931924611044e14  1.2264181513944235  -0.20579038489030196
  1.9952623149688666e14  1.1690163854537583  -0.21064333961046783
  2.5118864315095616e14  1.113002842687497  -0.21591438936336477
  3.162277660168354e14  1.0583332498361522  -0.2206926702664955
  3.9810717055349694e14  1.005658513581795  -0.22562591328986387
  5.0118723362727144e14  0.9532717802761828  -0.23448329530060158
  6.309573444801918e14  0.9034947417591224  -0.23372770919209446
  7.943282347242756e14  0.8558716899923361  -0.23685645757246632
  1.e15  0.8100076578416069  -0.24189533251663106
