#  kcut[h kpc^-1]= 10
#  M [Msol]   sigmaM   dlogsigmaM/dlogM 
  1.e-15  4.703436923032538  0.
  1.2589254117941765e-15  4.703436923032538  0.
  1.5848931924611175e-15  4.703436923032538  0.
  1.995262314968883e-15  4.703436923032538  0.
  2.511886431509582e-15  4.703436923032538  0.
  3.162277660168405e-15  4.703436923032538  0.
  3.981071705535002e-15  4.703436923032538  0.
  5.0118723362727556e-15  4.703436923032538  0.
  6.309573444801969e-15  4.703436923032538  0.
  7.943282347242853e-15  4.703436923032538  0.
  1.e-14  4.703436923032538  0.
  1.2589254117941714e-14  4.703436923032538  0.
  1.584893192461124e-14  4.703436923032538  0.
  1.995262314968891e-14  4.703436923032538  0.
  2.5118864315095924e-14  4.703436923032538  0.
  3.162277660168392e-14  4.703436923032538  0.
  3.981071705534986e-14  4.703436923032538  0.
  5.011872336272735e-14  4.703436923032538  0.
  6.309573444801968e-14  4.703436923032538  0.
  7.943282347242854e-14  4.703436923032538  0.
  1.e-13  4.703436923032538  0.
  1.2589254117941713e-13  4.703436923032538  0.
  1.5848931924611238e-13  4.703436923032538  0.
  1.995262314968891e-13  4.703436923032538  0.
  2.5118864315095926e-13  4.703436923032538  0.
  3.1622776601683923e-13  4.703436923032538  0.
  3.981071705535002e-13  4.703436923032538  0.
  5.011872336272756e-13  4.703436923032538  0.
  6.309573444801942e-13  4.703436923032538  0.
  7.943282347242822e-13  4.703436923032538  0.
  1.e-12  4.703436923032538  0.
  1.2589254117941713e-12  4.703436923032538  0.
  1.5848931924611175e-12  4.703436923032538  0.
  1.995262314968891e-12  4.703436923032538  0.
  2.5118864315095924e-12  4.703436923032538  0.
  3.1622776601683923e-12  4.703436923032538  0.
  3.981071705534986e-12  4.703436923032538  0.
  5.011872336272756e-12  4.703436923032538  0.
  6.3095734448019685e-12  4.703436923032538  0.
  7.943282347242854e-12  4.703436923032538  0.
  1.e-11  4.703436923032538  0.
  1.2589254117941713e-11  4.703436923032538  0.
  1.5848931924611175e-11  4.703436923032538  0.
  1.9952623149688828e-11  4.703436923032538  0.
  2.5118864315095923e-11  4.703436923032538  0.
  3.162277660168392e-11  4.703436923032538  0.
  3.9810717055349857e-11  4.703436923032538  0.
  5.011872336272735e-11  4.703436923032538  0.
  6.309573444801968e-11  4.703436923032538  0.
  7.943282347242854e-11  4.703436923032538  0.
  1.e-10  4.703436923032538  0.
  1.2589254117941713e-10  4.703436923032538  0.
  1.5848931924611238e-10  4.703436923032538  0.
  1.995262314968891e-10  4.703436923032538  0.
  2.511886431509582e-10  4.703436923032538  0.
  3.1622776601683795e-10  4.703436923032538  0.
  3.9810717055349854e-10  4.703436923032538  0.
  5.011872336272735e-10  4.703436923032538  0.
  6.309573444801942e-10  4.703436923032538  0.
  7.943282347242854e-10  4.703436923032538  0.
  1.e-9  4.703436923032538  0.
  1.2589254117941712e-9  4.703436923032538  0.
  1.5848931924611173e-9  4.703436923032538  0.
  1.995262314968891e-9  4.703436923032538  0.
  2.5118864315095923e-9  4.703436923032538  0.
  3.1622776601683923e-9  4.703436923032538  0.
  3.9810717055349855e-9  4.703436923032538  0.
  5.011872336272735e-9  4.703436923032538  0.
  6.309573444801943e-9  4.703436923032538  0.
  7.943282347242822e-9  4.703436923032538  0.
  1.e-8  4.703436923032538  0.
  1.2589254117941714e-8  4.703436923032538  0.
  1.5848931924611173e-8  4.703436923032538  0.
  1.995262314968883e-8  4.703436923032538  0.
  2.5118864315095923e-8  4.703436923032538  0.
  3.1622776601683924e-8  4.703436923032538  0.
  3.9810717055349776e-8  4.703436923032538  0.
  5.011872336272725e-8  4.703436923032538  0.
  6.309573444801956e-8  4.703436923032538  0.
  7.943282347242838e-8  4.703436923032538  0.
  1.e-7  4.703436923032538  0.
  1.2589254117941715e-7  4.703436923032538  0.
  1.5848931924611173e-7  4.703436923032538  0.
  1.995262314968883e-7  4.703436923032538  0.
  2.5118864315095876e-7  4.703436923032538  0.
  3.1622776601683855e-7  4.703436923032538  0.
